title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,latitude,longitude
The Gallery Caffe,4.5,1103,Cafe,Dine-in;Curbside pickup;Delivery;,MK MK MK Franklin Ruzvelt 63a lok. 2 Skopje 1000,+389 72 535 353,7:30AM–12AM,7:30AM–12AM,7:30AM–12AM,7:30AM–12AM,7:30AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMAa215dA5VFd480on_J3wx9aeBpNKdWwCpHCG0=w408-h408-k-no,42.0036875,21.4149375
Gorki Cafe,4.4,986,Cafe,Dine-in;Takeout;Delivery;,MK Luj Paster 1000 Skopje 1000,+389 71 273 380,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,12PM.–12AM,https://lh5.googleusercontent.com/p/AF1QipNyizwz3RTzePSRGjz1A2lP3Qpyyzc4jh1OeY-s=w408-h306-k-no,41.9930625,21.4304375
Drip Coffee,4.8,186,Cafe,Dine-in;Takeout;Delivery;,Elisie Popovski Marko 10 Skopje 1000,+389 70 393 710,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,https://lh5.googleusercontent.com/p/AF1QipPNEh6ZDZ30Iizf692VxsVKJNX0pvfd-AE_1fUk=w426-h240-k-no,41.9905625,21.4148125
Cafe Bocata,4.2,550,Cafe,Dine-in;Delivery;,MK Nikola Vapcarov 1 Skopje 1000,+389 2 311 0715,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNrDwKhHmVQl14LeC3Gy8EdOjNnLIG3XMd5-mG5=w408-h272-k-no,41.9956875,21.4310625
Broz Cafe,4.2,774,Cafe,Dine-in;Takeout;Delivery;,MK Blvd. Partizanski Odredi Skopje 1000,+389 77 590 419,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipO41_GcST4doBIktVomNsuqTyiZVWAtY3VgWeDm=w408-h544-k-no,42.0001875,21.4168125
Izlet,4.3,702,Cafe,Takeout;Delivery;,Nikola Trimpare 15 Skopje 1000,+389 76 909 909,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipPKqj7MpGDVuRP7QrSpeYGfX3aOiO_g9Nr7VxVn=w408-h544-k-no,41.9971875,21.4244375
Espresso bar La Strega,4.6,357,Cafe,Takeout;Delivery;,Boulevard Jane Sandanski 12 Skopje 1000,+389 75 525 461,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,10AM–10PM.,https://lh5.googleusercontent.com/p/AF1QipOSRm6oMIrt8S5WNSjKKmoF8BJAXHhSVJwu6Tcq=w408-h306-k-no,41.9880625,21.4546875
Belier,4.3,504,Cafe,Delivery;,Kosturski Heroi 38 Skopje 1000,+389 70 340 550,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMvsV6orVhp_SO4dHWDR9iQ7-mxXktwVxMxirVO=w408-h257-k-no,41.9985625,21.4169375
Capri Coffee Bar,4.6,566,Cafe,Takeout;Delivery;,MK Атинска 25 Skopje 1000,+389 71 365 535,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,8:30AM–1AM,9AM–1AM,https://lh5.googleusercontent.com/p/AF1QipN09WYU__8XHzuPQ5sdujQlFtf7o_KWzqSbOcHg=w408-h288-k-no,41.9969375,21.4095625
Central Perk,4.7,143,Cafe,Dine-in;Takeout;,Skopje 1000,,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,https://lh5.googleusercontent.com/p/AF1QipPkvXnw4OM5dw7FBuPElG236Bw7A9LNtagH4C-T=w408-h544-k-no,41.9976875,21.3980625
Coffee Factory,4.4,208,Cafe,Delivery;,Aminta Treti 33 Skopje 1000,+389 70 329 946,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,10AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMMFf5eWGENSHhmwTgQu-5k1Bfq8Lwh39Kidpkc=w408-h544-k-no,41.9991875,21.4234375
Knox,4.1,120,Cafe,Delivery;,Skopje 1000 706 Skopje 1000,+389 75 304 009,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMf75OzRpI7rdfvzqE6x8BQO0sUrA1Z8xNPA7Np=w408-h306-k-no,41.9925625,21.4413125
Get,4.4,1901,Cafe,Dine-in;Takeout;Delivery;,Skopje 1000,+389 2 277 7457,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMnZYZBz7sNq8JIHuHR9n4sJL3uOVRplXH07hV4=w408-h544-k-no,41.9728125,21.4449375
Coffee shop Mulliri,4.3,160,Cafe,Dine-in;Takeout;Delivery;,Chair Skopje 1000,,7AM–11PM.,7AM–11PM.,7AM–11PM.,7AM–11PM.,7AM–11PM.,7AM–11PM.,7AM–11PM.,https://lh5.googleusercontent.com/p/AF1QipOKivFGqDs8E-6VLsRIoN93Um-vT6ix4PYeXPMo=w408-h862-k-no,41.9976875,21.4345625
Mon Ami,4.7,9,Cafe,Dine-in;,Lazar Tanev 42 Skopje 1000,+389 75 839 288,8AM–10PM.,8AM–10PM.,8AM–10PM.,8AM–10PM.,8AM–10PM.,8AM–10PM.,8AM–10PM.,https://lh5.googleusercontent.com/p/AF1QipMqJ2OF1tV8G-huej55hyKYV-UFPWdFN1YiIwJA=w408-h306-k-no,42.0004375,21.4371875
La CAFE,4.3,100,Cafe,Delivery;,Kraishka 20 Skopje 1000,,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMgvV315EDoszlmtwQc48_ugvNRsVHigTxkCQEJ=w408-h544-k-no,42.0303125,21.4454375
Cafe Le Petit,4.6,643,Cafe,Delivery;,Trifun Hadzijanev K3 Skopje 1000,+389 70 235 176,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,12–11PM.,https://lh5.googleusercontent.com/p/AF1QipN7ZpQekyKGblKYny8OhiackvWoTkPik6yLrcmq=w408-h481-k-no,42.0026875,21.4613125
Phoenix Coffee Bar,4.9,14,Cafe,;,Московска 7 Skopje 1000,+389 77 743 063,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,10AM–10PM.,https://lh5.googleusercontent.com/p/AF1QipMDfpVoedP2Fy4q36lCDpF0qDlodnH5Eda8uqi_=w426-h240-k-no,42.0020625,21.3903125
Буква / Bookva,4.6,26,Cafe,;,Centar Skopje 1000,+389 72 213 107,11AM–11PM.,11AM–11PM.,11AM–11PM.,11AM–11PM.,11AM–11PM.,11AM–11PM.,12–11PM.,https://lh5.googleusercontent.com/p/AF1QipNkIe1yjy-sX-eVB9MpwR3_r57VlE4ifIeKDy7N=w408-h543-k-no,41.9930625,21.4310625
Play Cafe,4.2,807,Cafe,Takeout;,Skopje 1000,+389 78 212 271,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPfAoZpmvHwfz8hZ8dxH0wAzZEXNNjj8cFBg2c1=w408-h306-k-no,42.0039375,21.3923125
Mola,4.9,60,Cafe,Takeout;,Salih Asim 23 Skopje old bazaar MK 1000,+389 70 929 840,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,8AM–11PM.,Closed,https://lh5.googleusercontent.com/p/AF1QipObnV3zY3KQsHo0Pn6ZxAgq4iAaUj9Y47xVc3YE=w408-h544-k-no,41.9999375,21.4361875
Кафе бар Само / Samo Caffe Bar,4.7,179,Cafe,Delivery;,Orce Nikolov 75 Skopje 1000,+389 70 270 599,4PM.–12AM,4PM.–12AM,4PM.–12AM,4PM.–12AM,5PM.–1AM,5PM.–1AM,4PM.–12AM,https://lh5.googleusercontent.com/p/AF1QipP3KY96eZik5EINBwyagorAV0kaII3C06-5n1XB=w426-h240-k-no,42.0001875,21.4251875
Che,4.7,823,Cafe,Delivery;,2 Kosturski Heroi 15 Skopje 1000,+389 78 383 893,8AM–12PM.,8AM–12PM.,8AM–12PM.,8AM–12PM.,8AM–1AM,8AM–1AM,8AM–12PM.,https://lh5.googleusercontent.com/p/AF1QipOrtQoJ7CWrTOqoiM9EuXXGKhOf-H3EbcRiRtHN=w408-h544-k-no,41.9989375,21.4173125
Rendezvous,4.6,242,Cafe,Takeout;Delivery;,Мајка Тереза Skopje 1000 MK 1000,+389 78 246 893,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,9AM–12AM,Closed,https://lh5.googleusercontent.com/p/AF1QipMTvg1xHEQ3r8QjbxQWn7DodJprlG_uIbAs-Mu5=w408-h725-k-no,41.9914375,21.4224375
Vinyl Coffee Bar,4.5,376,Cafe,Takeout;Dine-in;Delivery;,Park Ezerce Skopje 1000,+389 70 685 816,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,8AM–1AM,10AM–12AM,https://lh5.googleusercontent.com/p/AF1QipOXh2Wl4TWySeyOA7F3z7pvom2DZJDp2jxfBOh3=w408-h408-k-no,42.0050625,21.4234375
Sweet Life Saraj,4.5,15,Cafe,Dine-in;Takeout;Delivery;,Skopje Saraj Ul.20 br.bb Saraj-Skopje Skopje MK 1062,+389 70 338 838,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipM2ae3HrhrAFqC50FClEyZMgVmJmMsEH2K_2y5_=w408-h544-k-no,42.0058125,21.3330625
Urban Cafe,4.6,25,Cafe,;,Bitpazarska 15 Skopje 1000,+389 78 277 148,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qx70pExi-xOETHyGOv6P-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=9.282029&pitch=0&thumbfov=100,41.9999375,21.4371875
Cafe 9,4.3,254,Cafe,Delivery;,Vasil Gjorgov Skopje 1000,,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–5PM.,https://lh5.googleusercontent.com/p/AF1QipPa2IfnWgr-XinNB6mKJd8RRQOVQ6gb2xind-ZI=w408-h544-k-no,41.9933125,21.4164375
Sunshine Caffe,4.4,238,Cafe,Delivery;,пешачка патека Skopje 1000,+389 71 225 115,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,8AM–12AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipM_n8mj8mU1M3cf3uHklsvcafgndFZ7eNg6-cPm=w426-h240-k-no,41.9795625,21.4764375
Friends Caffe,4.6,58,Cafe,Dine-in;Curbside pickup;Delivery;,Blvd. Partizanski Odredi 9 Skopje 1000,+389 77 945 415,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,10AM–1AM,Closed,https://lh5.googleusercontent.com/p/AF1QipNrwqbdu28BB_Ay6FzIlGdkQtm2rcYxaGyMzVgW=w408-h543-k-no,41.9974375,21.4266875
Morning,4.6,313,Cafe,Delivery;,Aerodrom Skopje 1000,+389 78 266 622,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipM3PtoO371zoMlt9gsTPiVR7vYeINlR5daYNi2G=w408-h544-k-no,41.9869375,21.4525625
Piazza Liberta,4.5,486,Bar,Dine-in;Takeout;,Dimitrie Cupovski 24 Skopje 1000,+389 2 322 4807,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,Closed,https://lh5.googleusercontent.com/p/AF1QipO2NUkLfgrqy2dwU52b37KHxz14XXXhBhOGTB05=w408-h271-k-no,41.9955625,21.4261875
Spalato Caffe,4.3,229,Cafe,Delivery;,Blvd. Partizanski Odredi 15a Skopje 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNR1-8YdWyXEp60oo2U2NYkzbkuigHWftohhuMh=w426-h240-k-no,41.9980625,21.4245625
Chica cafè,3.5,19,Cafe,;,Belasitsa 2 Skopje 1000 Skopie 1000,+389 70 575 029,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMeYsbIyw4Vsafc-hSJVRjFO1-ZO7Hw1jDkgqnI=w408-h544-k-no,41.9976875,21.4515625
Caffeine,4.6,170,Cafe,Delivery;,Blvd. Partizanski Odredi Skopje 1000,+389 75 300 051,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–12AM,8AM–1AM,https://lh5.googleusercontent.com/p/AF1QipPOminM_rp6qpjqyd60ELNL6gnzIV_ACOsQn4bA=w408-h544-k-no,42.0033125,21.3981875
Chevignon Cafe - City Trade Center,4.5,22,Cafe,;,11th October St. 12 Skopje 1000,+389 2 321 4411,9AM–9PM.,9AM–9PM.,9AM–9PM.,9AM–9PM.,9AM–9PM.,10AM–7PM.,10AM–7PM.,https://lh5.googleusercontent.com/p/AF1QipP4XfHg-IVvq_JpJAYcHqMoaaZceeEAHOu_IDGz=w408-h725-k-no,41.9945625,21.4333125
StoryCafe,4.9,12,Cafe,Delivery;,Orce Nikolov 1000 Skopje 1000,,8:30AM–11PM.,8:30AM–11PM.,8:30AM–11PM.,8:30AM–11PM.,8:30AM–11PM.,8:30AM–11PM.,8:30AM–11PM.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LBZ7oQs7yhhOaR4vK--KBA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=227.32419&pitch=0&thumbfov=100,42.0013125,21.4229375
Point Café,4.4,400,Cafe,Delivery;,Hristo Tatarchev 47Ц Skopje 1000,+389 78 445 405,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipOn3KEiBVBe7rTBEt0vGA0NKaUyzprYL_FEOW7c=w408-h544-k-no,41.9768125,21.4444375
Nargile Lounge Cafe,4,75,Cafe,Dine-in;Takeout;Delivery;,Jorgandziska Skopje 1000,+389 71 393 999,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipOflwSVbN2qHu6L6Da2bBIZZd6gyGCbmO6f9qF8=w408-h270-k-no,42.0000625,21.4356875
Mon Frère,4.6,78,Cafe,Dine-in;Takeout;,MK Mutavdziska Skopje 1000,+389 71 648 055,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,12–10PM.,https://lh5.googleusercontent.com/p/AF1QipMHuynoGNptEc_zcF6SgYnlourMYtvUtZqmmke9=w408-h544-k-no,42.0015625,21.4366875
Бифе Тафталиџе,4.7,88,Cafe,Delivery;,Blvd. Partizanski Odredi 70 Skopje 1000,+389 78 201 302,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–12:30AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPmOCPehTrPg6htIYkGQxi1lxGDn7q24oOV8TDq=w408-h408-k-no,42.0038125,21.3950625
Metanoja Literary Cafe,4.9,108,Cafe,Delivery;,Maksim Gorki 19 Skopje 1000,+389 2 321 1760,10AM–8PM.,10AM–8PM.,10AM–8PM.,10AM–8PM.,10AM–8PM.,10AM–8PM.,Closed,https://lh5.googleusercontent.com/p/AF1QipOepi1H9_uk3c0Z-hYyK1Xez6ZjpT20mPssgsgf=w408-h272-k-no,41.9960625,21.4283125
Port Caffee Bar,4.3,36,Cafe,;,Aerodrom Skopje 1000,+389 78 388 268,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipP8lnWBi8qrDL7eIIkFOZeATxtoj80rx2Ivzh3O=w408-h784-k-no,41.9746875,21.4719375
Aristocrat,4.3,401,Cafe,Curbside pickup;Delivery;,Jani Lukrovski Skopje 1000,+389 2 311 7483,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNUbff0zQEnbuGAw0vycTtnVnYXpGpYB75mcW71=w408-h502-k-no,42.0025625,21.4641875
Caffe Giovani Lounge,4.2,890,Cafe,Dine-in;Takeout;,Blvd. Partizanski Odredi 64 Skopje 1000,+389 2 306 3228,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipOIVaMahs6G_2ly_W_HW65nRxkLy_tCVktmYGqn=w408-h725-k-no,42.0033125,21.3991875
Ghetto Coffee,4.4,76,Cafe,Delivery;,Tale Hristov 1/3-3 Skopje 1000,+389 70 323 613,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipNb9ckZdDvPBwBMCtVwj_O3zLiuUzPA1ppas6Sy=w408-h544-k-no,42.0224375,21.4409375
Caffe Academy,4.4,8,Cafe,Delivery;,Mother Teresa 17 Skopje 1000,,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipNuxX3KMTZ7-Ci5mIVTXWJt2qw_m8uLr3vAQq7J=w408-h544-k-no,41.9913125,21.4223125
Krug Café,4.4,666,Cafe,Curbside pickup;Dine-in;Delivery;,Naum Naumovski Borche 79 Skopje 1000,+389 2 311 9447,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPrbQmYfg7xOj312C8HvmYcBoEqlc6qhJCd_jaz=w408-h544-k-no,41.9999375,21.4229375
Davido,4.5,266,Cafe,Delivery;,Boulevard Jane Sandanski Skopje 1000,,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,8:30AM–12AM,8:30AM–1AM,8:30AM–1AM,8:30AM–12AM,https://lh5.googleusercontent.com/p/AF1QipM69gHfLv-0-inBqDvHy7nWnS1pppoBw4Z6EshH=w408-h725-k-no,41.9853125,21.4653125
Cafe „Li“,4.6,1328,Cafe,Curbside pickup;Dine-in;Delivery;,MK MK Ankarska 23 lok.7 Skopje 1000,,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipPyOFRGIXZxoekCjZ0luFP07O6sd2AsLi5riXm7=w408-h301-k-no,41.9973125,21.4091875
Ottoman Caffe,4.8,82,Cafe,Dine-in;Delivery;,MK Kujundjiska Skopje 1000,+389 70 849 067,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,Closed,https://lh5.googleusercontent.com/p/AF1QipMEqxqUFKHtjH_1LNsY-hwKfbWgL3UEq8Xzqrx2=w408-h544-k-no,42.0016875,21.4370625
Casa,4.4,368,Bar,Curbside pickup;Delivery;,309 6 Skopje 1000,,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,9AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipN5cNsrVue8bW1PolB7DthpVL9w7ZlHkFHpYpYC=w425-h240-k-no,42.0009375,21.4220625
Helium Caffe,4.6,338,Cafe,Curbside pickup;Dine-in;Delivery;,MK Boulevard Vidoe Smilevski Bato 55 Skopje 1000,+389 2 240 0899,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,9AM–12AM,10AM–12AM,https://lh5.googleusercontent.com/p/AF1QipO7i4F9dyt1isrr9ZTrRT3D5Ma_FFgDlSlU2fKo=w408-h544-k-no,41.9813125,21.4754375
Кактус БАР,4.1,177,Cafe,Dine-in;Curbside pickup;Delivery;,Skopje 1000,+389 2 240 0899,8AM–12AM,8AM–12AM,8AM–12AM,8AM–12AM,8AM–1AM,8AM–1AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipMuAm8R_PZh3hT-1Sx1nRBQKSyOcBGNlXTPo0BI=w408-h544-k-no,41.9849375,21.4653125
Istanbul Simit Caffe,4,238,Cafe,Dine-in;Takeout;,и Sv. Kiril i Metodij 52 Skopje,,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,9AM–10PM.,https://lh5.googleusercontent.com/p/AF1QipOXfEqG0y-bF34PcE5-7US38Ve-viUmTZcb1Via=w408-h306-k-no,41.9921875,21.4270625
Caffe Mambo,4.4,414,Cafe,Delivery;,Asnom Blvd 18/3-3 Skopje 1000,,9AM–9PM.,9AM–9PM.,9AM–9PM.,9AM–9PM.,9AM–9PM.,9AM–12AM,9AM–12AM,https://lh5.googleusercontent.com/p/AF1QipP7T5C71HYnFD-jx99s5Flmcns63FXt9mmCoJLG=w425-h240-k-no,41.9894375,21.4759375
