,title,rating,reviewCount,category,attributes,address,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,Like Cafe,4.4,308.0,Cafe,·  Delivery,"XCQX+GPW, Skopje 1000, North Macedonia",+389 78 393 902,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
1,Play Cafe,4.2,807.0,Cafe,·  Takeout,"Skopje 1000, North Macedonia",+389 78 212 271,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
2,Caffe Happy,4.4,187.0,Cafe,·  Delivery,"XFQ3+C5X, Boulevard Jane Sandanski, Skopje 1000, North Macedonia",+389 72 702 001,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
3,The Gallery Caffe,4.5,1103.0,Cafe,·  Dine-in  ·  Curbside pickup  ·  Delivery,"MK MK MK, Franklin Ruzvelt 63a, lok. 2, Skopje 1000, North Macedonia",+389 72 535 353,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
4,Knox,4.1,120.0,Cafe,·  Delivery,"Skopje 1000 706, Skopje 1000, North Macedonia",+389 75 304 009,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.
5,Cafe 9,4.3,254.0,Cafe,·  Delivery,"Vasil Gjorgov, Skopje 1000, North Macedonia",,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–5p.m.
6,Broz Cafe,4.2,774.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Blvd. Partizanski Odredi, Skopje 1000, North Macedonia",+389 77 590 419,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–1a.m.
7,Point Café,4.4,400.0,Cafe,·  Delivery,"Hristo Tatarchev 47Ц, Skopje 1000, North Macedonia",+389 78 445 405,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
8,Mon Frère,4.6,78.0,Cafe,·  Dine-in  ·  Takeout,"MK, Mutavdziska, Skopje 1000, North Macedonia",+389 71 648 055,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,12–10p.m.
9,Ottoman Caffe,4.8,82.0,Coffee shop,·  Dine-in  ·  Delivery,"MK, Kujundjiska, Skopje 1000, North Macedonia",+389 70 849 067,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,Closed
10,Бифе Тафталиџе,4.7,88.0,Cafe,·  Delivery,"Blvd. Partizanski Odredi 70, Skopje 1000, North Macedonia",+389 78 201 302,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–12:30a.m.,9a.m.–12a.m.
11,La CAFE,4.3,100.0,Cafe,·  Delivery,"Kraishka 20, Skopje 1000, North Macedonia",,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
12,Stage Cafe,4.2,72.0,Cafe,·  Delivery,"XCRG+RPX, Ss Cyril & Methodius, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–12a.m.,8a.m.–12a.m.
13,M&F Cafe,4.8,11.0,Cafe,·  Delivery,"XCV8+6CC, Skopje 1000, North Macedonia",,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–12a.m.,7:30a.m.–1a.m.,7:30a.m.–1a.m.,7:30a.m.–12a.m.
14,Coffee shop Mulliri,4.3,160.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"Chair, Skopje, 1000, North Macedonia",,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.
15,Film Cafe,4.5,288.0,Cafe,·  Delivery,"XFJC+CHH, Skopje 1000, North Macedonia",+389 2 246 2077,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
16,Helium Caffe,4.6,338.0,Cafe,·  Curbside pickup  ·  Dine-in  ·  Delivery,"MK, Boulevard Vidoe Smilevski Bato 55, Skopje 1000, North Macedonia",+389 2 240 0899,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,10a.m.–12a.m.
17,Joy Café and Bakery,4.7,161.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"Luj Paster 1000, Skopje 1000, North Macedonia",+389 2 523 3355,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,8a.m.–4p.m.,9a.m.–4p.m.,9a.m.–4p.m.
18,Pablo Cafe,4.6,88.0,Cafe,·  Delivery,"XCX3+GVH, Ulica Bruce Lee, Skopje, North Macedonia",+389 2 309 8175,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
19,Border Cafe,4.4,110.0,Cafe,·  Curbside pickup  ·  No-contact delivery  ·  Dine-in,"Porta Vlae, Ul MK, Blvd Partizanski Odredi 149, Skopje 1000, North Macedonia",+389 78 426 980,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
20,Буква / Bookva,4.6,26.0,Cafe,,"Centar, Skopje, 1000, North Macedonia",+389 72 213 107,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,12–11p.m.
21,Coffee Factory 3,4.4,208.0,Cafe,·  Delivery,"XCVJ+J53, Macedonia, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,9a.m.–1a.m.,10a.m.–12a.m.
22,Fika Café,4.4,9.0,Cafe,·  Delivery,"2C28+2VR, Blvd. Partizanski Odredi, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
23,My story cafe,4.5,75.0,Coffee shop,·  Takeout  ·  Delivery,"MK, 3rd Macedonian Brigade Blvd 41, Skopje 1000, North Macedonia",+389 2 270 0091,8a.m.–11:58p.m.,8a.m.–11:58p.m.,8a.m.–11:58p.m.,8a.m.–11:58p.m.,8a.m.–11:58p.m.,8a.m.–11:58p.m.,9a.m.–11:58p.m.
24,Snooze cafe,4.4,8.0,Cafe,,"MK, 23 Oktomvri 18a, Skopje 1000, North Macedonia",,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.,8:30a.m.–12a.m.
25,Office Cafe,4.4,134.0,Cafe,·  Delivery,"MK, Fevruarski Pohod 24, Skopje 1000, North Macedonia",+389 78 272 628,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
26,Spalato Caffe,4.3,229.0,Cafe,·  Delivery,"Blvd. Partizanski Odredi 15a, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
27,Кафе „Литература“,4.4,16.0,Cafe,,"293X+54J, Skopje 1000, North Macedonia",,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–8p.m.
28,Кафе бар Само / Samo Caffe Bar,4.7,179.0,Cafe,·  Delivery,"Orce Nikolov 75, Skopje 1000, North Macedonia",+389 70 270 599,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–12a.m.,4p.m.–12a.m.,5p.m.–1a.m.,5p.m.–1a.m.,4p.m.–12a.m.
29,My Space Cafe,4.1,137.0,Cafe,·  Takeout  ·  Delivery,"Vasil Gjorgov, Skopje 1000, North Macedonia",+389 2 609 0264,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,Closed
30,Urban Cafe,4.6,25.0,Cafe,,"Bitpazarska 15, Skopje 1000, North Macedonia",+389 78 277 148,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.
31,Cafe Le Petit,4.6,643.0,Cafe,·  Delivery,"Trifun Hadzijanev K3, Skopje 1000, North Macedonia",+389 70 235 176,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,12–11p.m.
32,Image Cafe,4.3,120.0,Cafe,·  Takeout  ·  Delivery,"Boulevard Jane Sandanski 26, Skopje 1000, North Macedonia",+389 2 245 0453,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
33,Friends Caffe,4.6,58.0,Cafe,·  Dine-in  ·  Curbside pickup  ·  Delivery,"Blvd. Partizanski Odredi 9, Skopje 1000, North Macedonia",+389 77 945 415,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,10a.m.–1a.m.,Closed
34,Box Cafe,4.4,96.0,Cafe,·  Delivery,"295C+35Q, Skopje 1000, North Macedonia",,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
35,Coffee & Friends,4.4,52.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"XCVH+W82, Skopje 1000, North Macedonia",+389 2 317 7048,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,Closed
36,Block,4.5,972.0,Cafe,·  Delivery,"XFQ2+2FJ, Skopje 1000, North Macedonia",+389 78 838 826,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–1a.m.
37,Joy Café and Bakery - East Gate Mall,4.3,6.0,Coffee shop,·  Takeout,"Belasitsa 2, Skopje 1000, North Macedonia",+389 77 920 939,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.
38,Metanoja Literary Cafe,4.9,108.0,Cafe,·  Delivery,"Maksim Gorki 19, Skopje 1000, North Macedonia",+389 2 321 1760,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,Closed
39,Cool Caffe,4.3,163.0,Cafe,·  Delivery,"XFP8+484, Skopje 1000, North Macedonia",+389 78 353 377,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
40,Get,4.4,1901.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"Skopje 1000, North Macedonia",+389 2 277 7457,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–12a.m.
41,Belier,4.3,504.0,Cafe,·  Delivery,"Kosturski Heroi 38, Skopje 1000, North Macedonia",+389 70 340 550,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
42,Mon Ami,4.7,9.0,Cafe,·  Dine-in,"Lazar Tanev 42, Skopje 1000, North Macedonia",+389 75 839 288,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.
43,Nargile Lounge Cafe,4.0,74.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"Jorgandziska, Skopje 1000, North Macedonia",+389 71 393 999,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
44,Joy Cafe and Bakery,4.5,588.0,Bakery,·  Dine-in  ·  Takeout,"Nikola Tesla 9a, Skopje 1000, North Macedonia",+389 2 307 6955,7:30a.m.–6p.m.,7:30a.m.–6p.m.,7:30a.m.–6p.m.,7:30a.m.–6p.m.,7:30a.m.–6p.m.,8a.m.–4p.m.,9a.m.–4p.m.
45,2 Cups Cafe,4.7,10.0,Coffee shop,·  Dine-in,"MK, Mother Teresa 60, Skopje 1000, North Macedonia",+389 76 466 936,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
46,Che,4.7,823.0,Coffee shop,·  Delivery,"2, Kosturski Heroi 15, Skopje 1000, North Macedonia",+389 78 383 893,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12p.m.
47,HOSH,5.0,8.0,Cafe,,"MK, Bitpazarska 18, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
48,Gorki Cafe,4.4,986.0,Cafe,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Luj Paster 1000, Skopje 1000, North Macedonia",+389 71 273 380,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,12p.m.–12a.m.
49,Кафетерија Teeny Тајни,4.9,33.0,Coffee shop,·  Dine-in  ·  Curbside pickup  ·  No-contact delivery,"Orce Nikolov 83, Skopje 1000, North Macedonia",+389 78 307 117,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,8a.m.–11p.m.,9a.m.–11p.m.,Closed
50,Martini Caffe,4.4,1234.0,Cafe,·  Dine-in  ·  Takeout,"2C32+72G, Skopje 1000, North Macedonia",+389 2 306 1127,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
51,Dramski Cafe Bar,4.1,371.0,Cafe,·  Curbside pickup  ·  Delivery,"Shekspirova 15, Skopje 1000, North Macedonia",+389 78 268 740,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
52,Agate Cafe,4.0,97.0,Cafe,·  Curbside pickup  ·  Delivery,"Sava Kovachevikj 47И, Skopje 1000, North Macedonia",+389 78 257 088,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,10a.m.–12a.m.
53,Chevignon Cafe - City Trade Center,4.5,22.0,Cafe,,"11th October St. 12, Skopje 1000, North Macedonia",+389 2 321 4411,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–9p.m.,9a.m.–9p.m.,10a.m.–7p.m.,10a.m.–7p.m.
54,Tinex To Go Coffee Bar,4.5,92.0,Cafe,·  Dine-in  ·  Takeout,"XCVC+428, Skopje 1000, North Macedonia",+389 78 235 699,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,8a.m.–8p.m.,Closed
55,Caffe Vivendo,4.3,25.0,Cafe,,"John Kennedy 3, Skopje 1000, North Macedonia",+389 75 222 210,,,,,,,
56,Quatro Caffe,4.3,459.0,Cafe,·  Takeout  ·  Delivery,"1 MK, Hristo Tatarchev 47, Skopje 1000, North Macedonia",+389 78 841 484,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
57,Why Caffe,4.3,4.0,Cafe,,"Mitropolit Teodosij Gologanov 134/1, Skopje 1000, North Macedonia",+389 71 351 332,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–1a.m.,8a.m.–12p.m.
58,The Coffee Cino,5.0,3.0,Cafe,,"2C3F+M84, Skopje 1000, North Macedonia",,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.
59,Vespa Bar - Star Café,4.4,213.0,Cafe,·  Curbside pickup  ·  Dine-in  ·  Delivery,"Mitropolit Teodosij Gologanov 44, Skopje 1000, North Macedonia",+389 70 233 238,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,9a.m.–12a.m.
60,LUX Cafe,3.6,23.0,Cafe,·  Takeout  ·  Dine-in  ·  Delivery,"MK, Macedonia бр. 17, Skopje 1000, North Macedonia",+389 78 339 149,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
61,Image Cafe,,,Cafe,·  Dine-in,"Leninova 46, Skopje 1000, North Macedonia",+389 70 204 155,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
62,Urban Cocktails & Shisha,4.7,6.0,Cafe,·  Dine-in,"ул Булевар Јане Сандански Бр.82/локал -3,6 и 7 MK, Skopje 1000, North Macedonia",+389 72 302 649,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.,8a.m.–11:30p.m.
63,Duplo Specialty Coffee Shop,5.0,22.0,Coffee shop,·  Dine-in  ·  Takeout,"MK MK, Pandil Shishkov бр.4/2 лок.11, Skopje 1000, North Macedonia",+389 71 326 443,9a.m.–5p.m.,9a.m.–5p.m.,9a.m.–5p.m.,9a.m.–5p.m.,9a.m.–5p.m.,9a.m.–4p.m.,Closed
64,Victory Cafe,5.0,1.0,Cafe,,"Tone Tomshikj 1000, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–12a.m.,8a.m.–12a.m.
65,Amigos Gold,3.9,19.0,Cafe,,"Butel, Skopje, 1000, North Macedonia",+389 70 922 561,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
66,Izlet,4.3,702.0,Cafe,·  Takeout  ·  Delivery,"Nikola Trimpare 15, Skopje 1000, North Macedonia",+389 76 909 909,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.
67,Bass Cafe,4.3,334.0,Cafe,·  Delivery,"XCFW+86Q, Б, Сава Ковачевиќ 47И, Skopje, North Macedonia",+389 70 266 841,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
68,Лејзи Кафе - Lazy Cafe,4.3,29.0,Cafe,,"Boulevard Jane Sandanski 74-1, Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
69,Coffee Shop,5.0,1.0,Cafe,,"Boulevard Macedonia Skopje 1000, North Macedonia",,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.
70,Zaho Caffee & Lounge Bar,4.0,30.0,Cafe,·  Dine-in  ·  Curbside pickup  ·  No-contact delivery,"Boulevard Slovenia 1000, Skopje 1000, North Macedonia",+389 71 305 107,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
71,Dzhutla Cafe,4.6,42.0,Cafe,·  Delivery,"2C47+PPG, Boulevard Ilinden, Skopje 1000, North Macedonia",,8a.m.–11p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–12p.m.,8a.m.–1p.m.,8a.m.–1p.m.,8a.m.–11p.m.
72,Bristot Coffee Shop,4.9,39.0,Coffee shop,·  Takeout,"MK MK, Kosturski Heroi 4, loc5 1000, North Macedonia",+389 78 450 130,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,8a.m.–5p.m.,9a.m.–5p.m.,Closed
73,Sunny side cafe,4.0,2.0,Coffee shop,·  Curbside pickup  ·  Delivery,"Bul Partizanski odredi br153/16 Skopje MK, 1000, North Macedonia",+389 78 323 662,,,,,,,
74,Classic,4.3,127.0,Cafe,·  Delivery,"Skopje 1000, North Macedonia",,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
75,Coffee & Friends,,,Cafe,,"Luj Paster 21, Skopje 1000, North Macedonia",+389 2 306 0152,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,Closed
76,Xheski cafe Lavazza,5.0,4.0,Cafe,,"MK, Pokriena Charshija, Skopje 1000, North Macedonia",+389 70 266 221,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
77,Cherry Bar,4.5,608.0,Cafe,·  Dine-in  ·  Delivery,"Rajko Zhinzifov, Skopje 1000, North Macedonia",+389 2 615 2666,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–12a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.
78,Port Caffee Bar,4.3,36.0,Cafe,,"Aerodrom, Skopje, 1000, North Macedonia",+389 78 388 268,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–1a.m.,8a.m.–1a.m.,8a.m.–12a.m.
79,THREE MONKEYS,4.4,73.0,Coffee shop,·  Dine-in  ·  Takeout  ·  Delivery,"MK, Boulevard 8-mi Septemvri 7/6, Skopje 1000, North Macedonia",+389 70 804 903,,,,,,,
80,Krug Café,4.4,666.0,Cafe,·  Curbside pickup  ·  Delivery,"Naum Naumovski Borche 79, Skopje 1000, North Macedonia",+389 2 311 9447,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.
81,Scoop Artisan Cafe,4.6,51.0,Pastry shop,·  Dine-in  ·  Takeout,"Parking lot, Orce Nikolov 155, Skopje 1000, North Macedonia",+389 2 306 6811,,,,,,,
82,"Bee Land Cafe, Restauran & Playground",4.4,142.0,Restaurant,·  Dine-in  ·  Takeout  ·  No-contact delivery,"Skopje 1000, North Macedonia",+389 70 796 952,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.
83,Albion Café & Lounge Bar,4.3,76.0,Cafe,·  Delivery,"MK, Vtora Makedonska Brigada b.b, Skopje 1000, North Macedonia",+389 70 359 022,7a.m.–12p.m.,7a.m.–12p.m.,7a.m.–12p.m.,7a.m.–12p.m.,7a.m.–12p.m.,7a.m.–12p.m.,7a.m.–12p.m.
84,Chacha Cafe & Restaurant,4.5,431.0,Restaurant,·  Dine-in  ·  Takeout,"MK, Makedonsko Kosovska Brigada 11, Skopje 1000, North Macedonia",+389 75 225 200,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–12a.m.,8a.m.–8p.m.
